Name ,Team ,Batting Style,Bowling Style,Playing Role
Hashmatullah Shahidi ,Afghanistan,Left hand Bat,Right arm Offbreak,Top order Batter
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Ikram Alikhil,Afghanistan,Left hand Bat,,Wicketkeeper Batter
Riaz Hassan,Afghanistan,Right hand Bat,,Batter
Rahmat Shah,Afghanistan,Right hand Bat,Legbreak Googly,Allrounder
Noor Ahmad,Afghanistan,Right hand Bat,Left arm Unorthodox spin,Bowler
Abdul Rahman,Afghanistan,Right hand Bat,Right arm Fast medium,Bowler
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Steven Smith,Australia,Right hand Bat,Legbreak Googly,Top order Batter
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
Alex Carey ,Australia,Left hand Bat,,Wicketkeeper Batter
Travis Head,Australia,Left hand Bat,Right arm Offbreak,Top order Batter
Josh Inglis,Australia,Right hand Bat,,Wicketkeeper Batter
Marnus Labuschagne,Australia,Right hand Bat,Legbreak,Batter
Sean Abbott,Australia,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter
Litton Das,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder
Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,Bowler
Anamul Haque,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Mushfiqur Rahim,Bangladesh,Right hand Bat,,Wicketkeeper Batter
Tanzid Hasan,Bangladesh,Left hand Bat,,Opening Batter
Towhid Hridoy,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter
Mahedi Hasan ,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Mahmudullah,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Jos Buttler(c),England,Right hand Bat,,Wicketkeeper Batter
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder
Harry Brook,England,Right hand Bat,Right arm Medium,Batter
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder
Liam Livingstone,England,Right hand Bat,Legbreak,Batting Allrounder
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder
Adil Rashid,England,Right hand Bat,Legbreak,Bowler
Jonny Bairstow,England,Right hand Bat,Right arm Medium fast,Wicketkeeper Batter
Joe Root,England,Right hand Bat,Right arm Offbreak,Top order Batter
Jason Roy,England,Right hand Bat,,Opening Batter
Brydon Carse,England,Right hand Bat,Right arm Fast,Bowling Allrounder
David Willey,England,Left hand Bat,Left arm Fast medium,Bowling Allrounder
Gus Atkinson,England,Right hand Bat,Right arm Fast medium,Bowler
Reece Topley,England,Right hand Bat,Legbreak,Bowler
KL Rahul,India,Right hand Bat,,Opening Batter
Rohit Sharma(c),India,Right hand Bat,Right arm Offbreak,Top order Batter
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler
Ishan Kishan,India,Left hand Bat,,Wicketkeeper Batter
Shreyas Iyer,India,Right hand Bat,Right arm Offbreak,Top order Batter
Shubman Gill,India,Right hand Bat,Right arm Offbreak,Opening Batter
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Jasprit Bumrah,India,Right hand Bat,Right arm Fast,Bowler
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler
Shardul Thakur,India,Right hand Bat,Right arm Medium,Bowler
Prasidh Krishna,India,Right hand Bat,Right arm Fast medium,Bowler
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder
Scott Edwards(c),Netherlands,Right hand Bat,,Wicketkeeper Batter
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Wesley Barresi,Netherlands,Right hand Bat,Right arm Offbreak,Batter
Noah Croes,Netherlands,Right hand Bat,,Batter
Sybrand Engelbrecht,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder
Trja Nidamanuru,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder
Saqib Zulfiqar,Netherlands,Right hand Bat,Legbreak,Bowling Allrounder
Aryan Dutt,Netherlands,Right hand Bat,Right arm Offbreak,Bowler
Ryan Klein,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Kane Williamson(c),New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Allrounder
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder
